campaign_id,campaign__name,campaign__campaign_type,campaign__targeting_type,campaign__budget,campaign__state,campaign__label_names,date_start,date_end,attributed_units_ordered_14_day__sum,attributed_units_ordered_14_day_same_sku__sum,attributed_conversions_14_day__sum,attributed_conversions_14_day_same_sku__sum,spend
NA82757307953262,Mail Organizer Display,sponsoredDisplay,,25.00,enabled,"Housewares,Ilyapa,Mail Organizers",07/12/2021,07/18/2021,9,,9,7,140.44
NA155505403717468,Sand Cornhole Defense PL-PP-CH-,sponsoredDisplay,,25.00,enabled,"Corn Hole Sand,PP Corn Hole Bags Sand,Play Platoon,Toys",07/12/2021,07/18/2021,21,,21,14,138.00999999999999
NA274864876309668,PL-IL-DH35-BK18 - Defensive Disp,sponsoredDisplay,,20.00,enabled,"Door Hinges,Hardware,Housewares",07/12/2021,07/18/2021,6,,5,4,85.159999999999997
NA164483212915925,Kids Lawn Game Defensive,sponsoredDisplay,,15.00,enabled,"Play Platoon,Toys",07/12/2021,07/18/2021,7,,6,6,26.890000000000001
NA63308783776547,Pro Cornhole Defense,sponsoredDisplay,,20.00,enabled,"Corn Hole Pro,Play Platoon,Toys",07/12/2021,07/18/2021,4,,4,4,17.530000000000001
NA270368279231436,PL-PP-CHPRO2-REYE Offensive Targeting,sponsoredDisplay,,10.00,enabled,"Corn Hole Pro,Play Platoon,Toys",07/12/2021,07/18/2021,3,,3,0,16.460000000000001
NA48617193856970,PL-IL-CABKRB-K25-A - Offensive Display,sponsoredDisplay,,20.00,enabled,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,2,,1,0,12.43
NA73837990060804,pool basketball offensive,sponsoredDisplay,,10.00,paused,"Play Platoon,Pool Basketball,Toys",07/12/2021,07/18/2021,0,,0,0,11.59
NA132038793818141,Market Share - Disp - PL-IL-DH35-S18 - Offensive,sponsoredDisplay,,15.00,enabled,"Door Hinges,Hardware,Housewares",07/12/2021,07/18/2021,1,,1,1,9.7199999999999989
NA112425560007176,PL-IL-CABKRB-S25 - Defensive SN Collection,sponsoredDisplay,,20.00,enabled,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,2,,1,1,5.2599999999999998
NA115763030283309,Chair Mat - Display Top ASIN,sponsoredDisplay,,10.00,enabled,"Chair Mats,Housewares,Ilyapa",07/12/2021,07/18/2021,1,,1,1,4.9299999999999997
NA44390120819480,PL-IL-CABKRB-K25-A Defense New,sponsoredDisplay,,5.00,enabled,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,0,,0,0,3.9500000000000002
NA31959354673212,PL-IFC-CMB-BAMB-2PK - Product Target,sponsoredDisplay,,5.00,enabled,"Cable Management Box,Iron Forge Cable,Wire Cable Tool",07/12/2021,07/18/2021,0,,0,0,2.77
NA260475450291864,ring toss offensive,sponsoredDisplay,,10.00,enabled,"Play Platoon,Ring Toss,Toys",07/12/2021,07/18/2021,0,,0,0,2.52
NA207829179735065,PL-IFC-163W25P3 Defense,sponsoredDisplay,,10.00,enabled,"16-3 White,Iron Forge Cable,Wire Cable Tool",07/12/2021,07/18/2021,1,,1,1,2.4399999999999999
NA184260302941561,Desk Mat Defense PL-IL-DM,sponsoredDisplay,,20.00,enabled,"Desk Mats,Housewares,Ilyapa",07/12/2021,07/18/2021,0,,0,0,2.2599999999999998
NA47517209392416,Chair Mat Defense,sponsoredDisplay,,25.00,enabled,"Chair Mats,Housewares,Ilyapa",07/12/2021,07/18/2021,1,,1,0,2.1799999999999997
NA2884609607621,PL-IFC-123Y3GFCI Defense,sponsoredDisplay,,10.00,enabled,"12-3 Yellow,Iron Forge Cable,Wire Cable Tool",07/12/2021,07/18/2021,0,,0,0,1.7
NA137185362163576,PL-IFC-163B10PK2 Defense,sponsoredDisplay,,10.00,enabled,"16-3 Black,Iron Forge Cable,Wire Cable Tool",07/12/2021,07/18/2021,0,,0,0,1.46
NA197040885685422,PL-IFC-AW123BL100P - Sponsored Display,sponsoredDisplay,,10.00,paused,"All Weather Cord,Iron Forge Cable,Wire Cable Tool",07/12/2021,07/18/2021,0,,0,0,1.3300000000000001
NA123402968406719,PL-IFC-163B15 - Product Targeting,sponsoredDisplay,,5.00,paused,"16-3 Black,Iron Forge Cable,Wire Cable Tool",07/12/2021,07/18/2021,0,,0,0,1
NA21351956550975,Storage Strap Display Defense,sponsoredDisplay,,20.00,enabled,"Iron Forge Cable,Storage Straps,Wire Cable Tool",07/12/2021,07/18/2021,0,,0,0,1
NA24237200875705,Patio Umbrellas Display,sponsoredDisplay,,15.00,enabled,"Housewares,Patio,Umbrellas",07/12/2021,07/18/2021,0,,0,0,1
NA168147903792864,PL-IL-CHVOF.375-ORB-50PK - Knob X-Sell,sponsoredDisplay,,10.00,enabled,"Cabinet Hinges,Hardware,Housewares",07/12/2021,07/18/2021,1,,1,0,0.67000000000000004
NA35097946582612,PL-IL-CABKRB-B25 - Defensive ORB Collection,sponsoredDisplay,,10.00,paused,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,0,,0,0,0.67000000000000004
NA149075921135686,PL-IFC-CMB-BKWD-LG,sponsoredDisplay,,5.00,enabled,"Cable Management Box,Iron Forge Cable,Wire Cable Tool",07/12/2021,07/18/2021,0,,0,0,0
NA158317152636767,PL-IFC-123Y100 Defense,sponsoredDisplay,,10.00,paused,"12-3 Yellow,Iron Forge Cable,Wire Cable Tool",07/12/2021,07/18/2021,0,,0,0,0
NA158947458123756,Dinnerware Sets,sponsoredDisplay,,15.00,paused,"Disposables,Housewares",07/12/2021,07/18/2021,0,,0,0,0
NA187405013040937,PL-PP-BLBGRAY4 - Product Targeting,sponsoredDisplay,,5.00,paused,"Building Bricks,Play Platoon,Toys",07/12/2021,07/18/2021,0,,0,0,0
NA19190731094093,Pool Basketball Offensive Iso,sponsoredDisplay,,20.00,paused,"Play Platoon,Pool Basketball,Toys",07/12/2021,07/18/2021,0,,0,0,0
NA204073727568067,PL-IFC-CMB-WTWD-LG,sponsoredDisplay,,5.00,enabled,"Cable Management Box,Iron Forge Cable,Wire Cable Tool",07/12/2021,07/18/2021,0,,0,0,0
NA20447395698630,Offsite Remarketing (Beta),sponsoredDisplay,,3.00,paused,Overall Account,07/12/2021,07/18/2021,0,,0,0,0
NA225476782860388,Canopy test,sponsoredDisplay,,15.00,paused,"Canopies,Housewares,Patio",07/12/2021,07/18/2021,0,,0,0,0
NA228505738354436,DD Rodger Alarm Kit - Display,sponsoredDisplay,,20.00,paused,Discontinued,07/12/2021,07/18/2021,0,,0,0,0
NA270023922617572,PL-IL-CABPT-SQR-S10 Display Retargetting,sponsoredDisplay,,15.00,paused,"Hardware,Housewares,Pull Handles",07/12/2021,07/18/2021,0,,0,0,0
NA76608131362062,PL-PP-B20X20T-RBYG - Display,sponsoredDisplay,,20.00,paused,"Activity Table,Play Platoon,Toys",07/12/2021,07/18/2021,0,,0,0,0
NA83686173097745,Adult Lawn Game Defensive,sponsoredDisplay,,15.00,enabled,"Play Platoon,Toys",07/12/2021,07/18/2021,0,,0,0,0
NA83747538840820,PL-IFC-163CR30-A - Display,sponsoredDisplay,,20.00,paused,"Cord Reels,Iron Forge Cable,Wire Cable Tool",07/12/2021,07/18/2021,0,,0,0,0
NA101087875956677,PL-IL-CABKRB-K25-A Offensive Targeting,sponsoredDisplay,,20.00,paused,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA104332104134339,basketball hoop defensive and offensive,sponsoredDisplay,,10.00,paused,"Mini Basketball Hoop,Play Platoon,Toys",07/12/2021,07/18/2021,,,,,
NA104811557190005,Sand Cornhole Bag Display Audience,sponsoredDisplay,,20.00,paused,"Corn Hole Sand,Play Platoon,Toys",07/12/2021,07/18/2021,,,,,
NA105333892232886,PL-IL-DH35-S18 - Defensive Disp,sponsoredDisplay,,20.00,enabled,"Door Hinges,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA106808812650433,PL-IL-CHVO.375-SN-50PK - X-Sell,sponsoredDisplay,,10.00,paused,"Cabinet Hinges,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA10804721977254,step stool offensive,sponsoredDisplay,,15.00,enabled,"Play Platoon,Step Stools,Toys",07/12/2021,07/18/2021,,,,,
NA10858187999595,PL-IL-CM36X48RW-RL Display Cobalt Test,sponsoredDisplay,,10.00,paused,"Chair Mats,Housewares,Ilyapa",07/12/2021,07/18/2021,,,,,
NA110043679378909,PL-PP-CHPRO2-ORGY Offensive Targeting,sponsoredDisplay,,10.00,paused,"Corn Hole Pro,Play Platoon,Toys",07/12/2021,07/18/2021,,,,,
NA110780723264215,PL-IL-MCH - Display Campaign,sponsoredDisplay,,10.00,paused,"Housewares,Ilyapa,Slate Boards",07/12/2021,07/18/2021,,,,,
NA113235727115304,Cabinet Knobs - Defensive Display - Bronze,sponsoredDisplay,,100.00,paused,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
